,pct_renter_occupied,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,renter_occupied_households,median_household_income,median_property_value,label_value,score
2206,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.00766205235743945
2220,high,high,low,low,low,low,low,low,low,low,low,low,0,0.12973792794116348
2226,low,high,low,low,low,low,low,low,low,low,low,low,0,0.04580446051346084
2231,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.20855139658317795
2241,med-low,high,low,low,low,low,low,low,low,low,med-low,low,1,0.22185070023368172
2247,med-high,med-high,low,low,low,med-low,low,low,low,low,low,low,0,0.11312682866420433
2256,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.10550137807807695
2265,med-high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.0657119589677513
2275,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.03242514753620813
2290,med-low,med-high,low,low,low,low,low,low,low,med-low,med-low,low,1,0.1580315883627704
2297,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.023534519482887217
2305,high,high,low,low,low,low,low,low,low,low,low,low,0,0.02667237594381983
2313,high,high,low,low,low,low,low,low,low,low,low,low,0,0.13674031638476764
2318,high,high,low,low,low,low,low,low,low,low,low,low,0,0.0354397203259961
2328,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0190106603073028
2341,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.0001222262075608609
2357,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.002682241869529336
2366,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.11418338535062242
2374,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.054894155850017244
2382,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.013711617392143969
2391,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.012044324617276692
2405,high,med-high,low,low,low,low,low,low,low,med-low,low,low,0,0.011999179156228534
2418,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.0162930790680351
2427,high,high,low,low,low,low,low,low,low,low,low,med-low,0,0.010663150752622912
2435,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.021575613749488635
2443,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.00013963461757581045
2453,high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.029882999581401483
2466,med-low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.015198991217880195
2492,low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.007941709346733961
2498,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.0001267445053231277
2506,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,0,0.04037387803022048
2512,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.09492787762454676
2526,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0005844211490586229
2533,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.010981598717465256
2541,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.0037069821626849273
2566,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.028609769578360193
2572,high,high,low,low,low,low,low,low,low,low,low,med-low,0,0.02630314273836374
2577,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.04137932503767974
2585,high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.04903516648665145
2594,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.003434371677549115
2611,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.10264295702871755
2626,med-high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.04562514767682116
2633,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.012784657053158162
2642,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.03448553635674523
2651,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.03340459133164213
2659,med-low,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.03132776716185417
2665,med-low,med-high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.05181999794480876
2681,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.010040288878971071
2688,med-high,high,low,low,low,low,low,med-low,low,low,med-low,low,0,0.040349216075081566
2696,med-high,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.02105931528902135
2705,high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.0904255303090816
2711,low,high,low,low,low,low,low,low,low,low,med-high,low,0,0.04578540388892439
2720,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.06325905238669302
2729,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.013790695315615031
2746,med-high,high,low,low,low,low,low,low,low,low,low,low,0,0.28504305194240603
2755,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.14791908552431993
2765,low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.025088873542020555
2775,low,med-high,low,low,low,med-low,low,low,low,low,med-low,low,0,0.13956839698944962
2779,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.036811765564234086
2785,med-high,high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.09538526581184181
2794,med-high,high,low,low,low,low,low,low,low,low,med-low,low,0,0.009951924240422511
2804,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,low,0,0.015567058871312373
2810,med-high,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.01865979061098454
2818,med-low,high,low,low,low,low,low,low,low,low,med-high,med-low,0,0.024443771293807193
2826,high,low,high,low,low,low,low,low,low,med-low,low,low,1,0.8958556212385327
2848,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.3973884236678355
2857,high,med-high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.14353686172566774
2864,med-high,med-high,low,low,low,low,low,low,low,low,low,low,0,0.33986846486846484
2874,high,med-high,low,low,low,low,low,low,low,med-high,low,low,0,0.11884515866822735
2889,high,med-high,low,low,low,low,low,low,low,med-low,low,med-low,1,0.5297869509492742
2898,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.07359681755217101
2907,high,med-low,med-low,low,low,low,low,low,low,med-low,low,low,1,0.8441224795241555
2913,high,high,low,low,low,low,low,low,low,med-low,low,low,0,0.3227651271362908
2938,med-high,med-high,low,low,low,med-low,low,low,low,low,med-low,low,0,0.017260329154406978
2956,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.005543459879298273
2961,med-low,high,low,low,low,low,low,low,low,low,med-low,low,0,0.014962603718293272
2966,low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.01346979524017878
2973,med-high,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.058821586840990675
2980,med-low,high,low,low,low,low,low,low,low,low,low,low,0,0.018575721226660853
2988,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,1,0.03912171246437517
2993,med-low,med-high,low,low,low,med-low,low,low,low,low,med-low,low,1,0.1868749152189281
3002,med-low,med-high,low,low,low,low,low,low,low,low,med-low,low,0,0.05746554210933838
3016,med-low,high,low,low,low,low,low,low,low,low,med-low,med-low,0,0.010297287539493724
3024,med-high,med-high,low,low,low,low,low,low,low,low,low,low,1,0.1870845766761872
3031,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,med-low,1,0.5615862005211608
3039,med-low,med-high,low,low,low,low,low,low,low,low,med-high,low,0,0.033374608230109175
3048,med-high,med-high,low,low,low,med-low,low,low,low,low,med-low,med-low,0,0.048993567234900864
3055,med-high,med-high,low,low,low,low,low,low,low,med-low,med-low,med-low,1,0.5099172518349824
3062,high,med-low,low,low,low,med-low,low,low,low,med-low,low,low,0,0.2386176111285718
3074,med-high,med-high,low,low,low,med-low,low,low,low,low,med-low,med-low,0,0.2256574741683438
3092,med-high,med-high,low,low,low,med-low,low,low,low,med-low,med-low,low,0,0.2648335158204776
3099,med-high,med-high,low,low,low,low,low,low,low,med-high,med-low,low,0,0.45529235530551326
