year,state,county,region,division,total_bldg,total_units,total_value
2000,37,151,3,5,639,915,67232175
2000,37,153,3,5,274,274,14733676
2000,37,155,3,5,405,413,48779894
2000,37,157,3,5,294,342,34679328
2000,37,159,3,5,676,764,91828000
2000,37,161,3,5,283,290,29818417
2000,37,163,3,5,134,134,14688040
2000,37,165,3,5,100,144,11770886
2000,37,167,3,5,281,287,29268201
2000,37,169,3,5,155,183,21659455
2000,37,171,3,5,215,222,26827993
2000,37,173,3,5,114,155,11601037
2000,37,175,3,5,238,238,55863010
2000,37,177,3,5,9,9,2382500
2000,37,179,3,5,2295,2457,286645628
2000,37,181,3,5,137,138,14732494
2000,37,183,3,5,8209,12193,1368380591
2000,37,185,3,5,89,89,11063811
2000,37,187,3,5,17,17,2225821
2000,37,189,3,5,516,573,101199250
2000,37,191,3,5,380,428,40778450
2000,37,193,3,5,237,242,32464401
2000,37,195,3,5,467,598,44459836
2000,37,197,3,5,136,138,18052666
2000,37,199,3,5,83,87,4910658
2000,39,1,2,3,1,1,50000
2000,39,3,2,3,223,231,32683768
2000,39,5,2,3,176,185,19578900
2000,39,7,2,3,447,449,47649645
2000,39,9,2,3,39,41,2982600
2000,39,11,2,3,158,164,21182842
2000,39,13,2,3,25,25,2595100
2000,39,15,2,3,88,111,11622223
2000,39,17,2,3,1955,2385,253379931
2000,39,19,2,3,15,24,2407042
2000,39,21,2,3,175,175,19111868
2000,39,23,2,3,277,284,29931816
2000,39,25,2,3,1226,1657,184619927
2000,39,27,2,3,201,206,25458144
2000,39,29,2,3,76,140,11692999
2000,39,31,2,3,6,8,1085000
2000,39,33,2,3,93,93,11290715
2000,39,35,2,3,1834,2209,365738355
2000,39,37,2,3,173,177,19531061
2000,39,39,2,3,138,142,14074623
2000,39,41,2,3,3067,3093,421393830
2000,39,43,2,3,290,309,40027655
2000,39,45,2,3,824,914,138298387
2000,39,47,2,3,105,105,13209792
2000,39,49,2,3,5388,9321,964304553
2000,39,51,2,3,154,163,21067539
2000,39,53,2,3,6,7,465000
2000,39,55,2,3,519,519,106307915
2000,39,57,2,3,562,860,96110123
2000,39,59,2,3,84,84,5867654
2000,39,61,2,3,1378,1940,299983966
2000,39,63,2,3,272,305,40241370
2000,39,65,2,3,63,67,5210020
2000,39,67,2,3,0,0,0
2000,39,69,2,3,72,72,8987631
2000,39,71,2,3,59,59,4701950
2000,39,73,2,3,4,4,415000
2000,39,75,2,3,5,19,964400
2000,39,77,2,3,153,160,16271957
2000,39,79,2,3,156,186,16161023
2000,39,81,2,3,39,112,5994251
2000,39,83,2,3,300,325,32219529
2000,39,85,2,3,703,761,119799290
2000,39,87,2,3,80,103,5832466
2000,39,89,2,3,1039,1135,156165312
2000,39,91,2,3,249,260,25956571
2000,39,93,2,3,1401,1784,268252425
2000,39,95,2,3,1017,1227,156915135
2000,39,97,2,3,184,185,20962677
2000,39,99,2,3,634,716,91391008
2000,39,101,2,3,131,134,12536202
2000,39,103,2,3,1471,1681,251521464
2000,39,105,2,3,12,12,764200
2000,39,107,2,3,121,159,19040866
2000,39,109,2,3,265,265,43249962
2000,39,111,2,3,0,0,0
2000,39,113,2,3,1109,1384,177309347
2000,39,115,2,3,1,1,104000
2000,39,117,2,3,51,51,4954962
2000,39,119,2,3,40,186,8479979
2000,39,121,2,3,32,32,2546000
2000,39,123,2,3,241,243,20302104
2000,39,125,2,3,88,143,10726906
2000,39,127,2,3,34,34,3698654
2000,39,129,2,3,205,205,28714928
2000,39,131,2,3,17,96,5206395
2000,39,133,2,3,726,737,133868170
2000,39,135,2,3,170,176,16755804
2000,39,137,2,3,84,92,11120963
2000,39,139,2,3,366,538,52002963
2000,39,141,2,3,55,68,6910731
2000,39,143,2,3,145,149,16709908
2000,39,145,2,3,5,6,265000
2000,39,147,2,3,193,203,11991388
2000,39,149,2,3,198,210,27791468
2000,39,151,2,3,1215,1255,188772965
2000,39,153,2,3,1925,2605,325318447
2000,39,155,2,3,410,468,49913429
2000,39,157,2,3,157,173,21632152
2000,39,159,2,3,450,450,67598579
2000,39,161,2,3,83,84,7881500
2000,39,163,2,3,0,0,0
2000,39,165,2,3,2425,2906,307380637
2000,39,167,2,3,19,19,2868068
2000,39,169,2,3,436,497,55807916
2000,39,171,2,3,155,170,18558700
2000,39,173,2,3,481,754,74891216
2000,39,175,2,3,64,68,7767830
2000,45,1,3,5,96,96,8721600
2000,45,3,3,5,678,678,74144870
2000,45,5,3,5,5,20,1000920
2000,45,7,3,5,987,1110,112511705
2000,45,9,3,5,18,21,1485000
2000,45,11,3,5,4,4,546000
2000,45,13,3,5,2034,2689,438370237
2000,45,15,3,5,556,556,56001145
2000,45,17,3,5,84,84,4724534
2000,45,19,3,5,2985,4086,608562210
2000,45,21,3,5,149,151,11280545
2000,45,23,3,5,88,88,9749745
2000,45,25,3,5,253,268,22529401
2000,45,27,3,5,109,109,10388823
2000,45,29,3,5,121,130,17632959
